id,flags,runtime,speedup
76,-floop-block -floop-interchange -flto,40.36,0.997026759167493
74,-fomit-frame-pointer -floop-interchange -flto,40.28,0.999006951340616
94,-fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -flto,40.28,0.999006951340616
10,-fomit-frame-pointer -floop-interchange,40.23,1.00024857071837
86,-fomit-frame-pointer -floop-block -floop-strip-mine -flto,40.23,1.00024857071837
68,-floop-block -flto,40.21,1.00074608306391
82,-fomit-frame-pointer -floop-strip-mine -flto,40.17,1.0017425939756
90,-fomit-frame-pointer -floop-interchange -floop-strip-mine -flto,40.15,1.00224159402242
64,-flto,40.13,1.00274109145278
80,-floop-strip-mine -flto,40.11,1.00324108701072
92,-floop-block -floop-interchange -floop-strip-mine -flto,40.11,1.00324108701072
20,-floop-block -floop-strip-mine,40.08,1.00399201596806
78,-fomit-frame-pointer -floop-block -floop-interchange -flto,40.07,1.00424257549289
88,-floop-interchange -floop-strip-mine -flto,40.07,1.00424257549289
72,-floop-interchange -flto,40.06,1.00449326010984
84,-floop-block -floop-strip-mine -flto,40.05,1.00474406991261
8,-floop-interchange,40.04,1.00499500499501
70,-fomit-frame-pointer -floop-block -flto,40.01,1.00574856285929
12,-floop-block -floop-interchange,40,1.006
14,-fomit-frame-pointer -floop-block -floop-interchange,40,1.006
16,-floop-strip-mine,39.97,1.00675506629972
24,-floop-interchange -floop-strip-mine,39.96,1.00700700700701
6,-fomit-frame-pointer -floop-block,39.95,1.0072590738423
18,-fomit-frame-pointer -floop-strip-mine,39.92,1.00801603206413
22,-fomit-frame-pointer -floop-block -floop-strip-mine,39.89,1.00877412885435
2,-fomit-frame-pointer,39.88,1.00902708124373
66,-fomit-frame-pointer -flto,39.88,1.00902708124373
4,-floop-block,39.85,1.00978670012547
26,-fomit-frame-pointer -floop-interchange -floop-strip-mine,39.83,1.01029374843083
28,-floop-block -floop-interchange -floop-strip-mine,39.83,1.01029374843083
30,-fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine,39.83,1.01029374843083
120,-floop-interchange -floop-strip-mine -funroll-loops -flto,39.7,1.01360201511335
122,-fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops -flto,39.67,1.01436854045878
98,-fomit-frame-pointer -funroll-loops -flto,39.57,1.01693201920647
112,-floop-strip-mine -funroll-loops -flto,39.51,1.01847633510504
106,-fomit-frame-pointer -floop-interchange -funroll-loops -flto,39.47,1.01950848745883
104,-floop-interchange -funroll-loops -flto,39.42,1.02080162354135
114,-fomit-frame-pointer -floop-strip-mine -funroll-loops -flto,39.36,1.02235772357724
124,-floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,39.35,1.02261753494282
100,-floop-block -funroll-loops -flto,39.33,1.02313755403
96,-funroll-loops -flto,39.31,1.02365810226405
44,-floop-block -floop-interchange -funroll-loops,39.3,1.02391857506361
126,-fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,39.3,1.02391857506361
108,-floop-block -floop-interchange -funroll-loops -flto,39.28,1.0244399185336
110,-fomit-frame-pointer -floop-block -floop-interchange -funroll-loops -flto,39.28,1.0244399185336
116,-floop-block -floop-strip-mine -funroll-loops -flto,39.27,1.02470078940667
102,-fomit-frame-pointer -floop-block -funroll-loops -flto,39.26,1.02496179317371
46,-fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,39.22,1.02600713921469
